 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.10418     Clsurf  =  -0.01795
     CYsurf  =  -0.00040     Cmsurf  =  -0.11035
     CDsurf  =   0.00495     Cnsurf  =   0.00019
     CDisurf =   0.00495     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.25755     CDsurf  =   0.01225
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   2.7860   0.8199   0.0617   0.2369   0.0226   0.3183   0.2901  -0.0146   0.0000  -0.0839  -0.1451    0.539
    45   2.8601   0.7947   0.0579   0.2289   0.0231   0.3135   0.2857   0.0515   0.0000  -0.0836  -0.1446    0.543
    46   2.9316   0.7704   0.0541   0.2207   0.0238   0.3125   0.2847   0.0416   0.0000  -0.0832  -0.1439    0.542
    47   3.0005   0.7470   0.0504   0.2124   0.0247   0.3098   0.2823   0.0472   0.0000  -0.0827  -0.1430    0.543
    48   3.0665   0.7246   0.0467   0.2040   0.0257   0.3065   0.2793   0.0504   0.0000  -0.0821  -0.1418    0.544
    49   3.1295   0.7031   0.0432   0.1954   0.0271   0.3027   0.2758   0.0461   0.0000  -0.0814  -0.1402    0.545
    50   3.1893   0.6828   0.0397   0.1865   0.0286   0.2946   0.2685   0.0967   0.0000  -0.0805  -0.1383    0.550
    51   3.2458   0.6636   0.0364   0.1774   0.0305   0.2918   0.2658   0.0360   0.0000  -0.0794  -0.1359    0.549
    52   3.2989   0.6456   0.0331   0.1680   0.0327   0.2865   0.2611  -0.0081   0.0000  -0.0780  -0.1330    0.549
    53   3.3484   0.6287   0.0300   0.1583   0.0353   0.2771   0.2525  -0.0087   0.0000  -0.0763  -0.1294    0.552
    54   3.3942   0.6132   0.0269   0.1481   0.0384   0.2689   0.2450  -0.0594   0.0000  -0.0742  -0.1251    0.553
    55   3.4362   0.5989   0.0240   0.1375   0.0420   0.2527   0.2302  -0.0076   0.0000  -0.0716  -0.1199    0.561
    56   3.4743   0.5859   0.0212   0.1263   0.0461   0.2371   0.2160  -0.0047   0.0000  -0.0684  -0.1137    0.567
    57   3.5084   0.5743   0.0184   0.1144   0.0508   0.2193   0.1998  -0.0053   0.0000  -0.0645  -0.1062    0.573
    58   3.5384   0.5641   0.0158   0.1019   0.0563   0.1986   0.1810  -0.0016   0.0000  -0.0597  -0.0975    0.580
    59   3.5643   0.5554   0.0132   0.0886   0.0627   0.1739   0.1585   0.0242   0.0000  -0.0540  -0.0872    0.590
    60   3.5859   0.5480   0.0107   0.0745   0.0701   0.1481   0.1350   0.0204   0.0000  -0.0471  -0.0753    0.599
    61   3.6033   0.5421   0.0083   0.0594   0.0787   0.1196   0.1089   0.0151   0.0000  -0.0389  -0.0616    0.607
    62   3.6164   0.5376   0.0059   0.0434   0.0876   0.0888   0.0809  -0.0017   0.0000  -0.0293  -0.0460    0.612
    63   3.6251   0.5347   0.0035   0.0265   0.0948   0.0540   0.0492   0.0063   0.0000  -0.0183  -0.0285    0.621
    64   3.6295   0.5332   0.0012   0.0089   0.0983   0.0182   0.0166   0.0017   0.0000  -0.0062  -0.0097    0.624

  Surface # 2     Wing (YDUP)                             
     # Chordwise =  8   # Spanwise = 64     First strip = 65
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.10418     Clsurf  =   0.01795
     CYsurf  =   0.00040     Cmsurf  =  -0.11035
     CDsurf  =   0.00493     Cnsurf  =  -0.00018
     CDisurf =   0.00493     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.25756     CDsurf  =   0.01219
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    65  -0.0005   1.7668   0.0039   0.3854   0.0255   0.2257   0.2056   0.2441   0.0000  -0.0837   0.1285    0.657
    66  -0.0049   1.7653   0.0116   0.3854   0.0259   0.2382   0.2171   0.0293   0.0000  -0.0838   0.1286    0.636
    67  -0.0136   1.7624   0.0192   0.3854   0.0266   0.2397   0.2184   0.0114   0.0000  -0.0839   0.1288    0.634
    68  -0.0267   1.7579   0.0268   0.3855   0.0274   0.2405   0.2192   0.0084   0.0000  -0.0840   0.1291    0.634
    69  -0.0441   1.7520   0.0342   0.3856   0.0280   0.2415   0.2200   0.0063   0.0000  -0.0842   0.1294    0.633
    70  -0.0657   1.7446   0.0415   0.3856   0.0285   0.2427   0.2211   0.0047   0.0000  -0.0843   0.1298    0.631
    71  -0.0916   1.7359   0.0485   0.3857   0.0288   0.2440   0.2223   0.0030   0.0000  -0.0845   0.1301    0.630
    72  -0.1216   1.7257   0.0553   0.3857   0.0291   0.2455   0.2237   0.0028   0.0000  -0.0845   0.1305    0.628
    73  -0.1557   1.7141   0.0619   0.3856   0.0292   0.2469   0.2250   0.0056   0.0000  -0.0846   0.1309    0.626
    74  -0.1938   1.7011   0.0681   0.3854   0.0293   0.2486   0.2265   0.0066   0.0000  -0.0847   0.1313    0.624
    75  -0.2358   1.6868   0.0741   0.3851   0.0294   0.2507   0.2285   0.0027   0.0000  -0.0847   0.1318    0.621
    76  -0.2816   1.6713   0.0797   0.3846   0.0293   0.2527   0.2303   0.0035   0.0000  -0.0848   0.1323    0.618
    77  -0.3311   1.6544   0.0849   0.3840   0.0292   0.2548   0.2322   0.0041   0.0000  -0.0848   0.1327    0.615
    78  -0.3842   1.6364   0.0897   0.3832   0.0291   0.2572   0.2343   0.0029   0.0000  -0.0848   0.1333    0.612
    79  -0.4407   1.6172   0.0941   0.3821   0.0289   0.2594   0.2364   0.0041   0.0000  -0.0849   0.1338    0.609
    80  -0.5005   1.5969   0.0981   0.3808   0.0287   0.2619   0.2387   0.0032   0.0000  -0.0849   0.1343    0.606
    81  -0.5635   1.5754   0.1016   0.3793   0.0285   0.2642   0.2408   0.0062   0.0000  -0.0850   0.1349    0.603
    82  -0.6295   1.5530   0.1048   0.3775   0.0282   0.2669   0.2432   0.0044   0.0000  -0.0850   0.1355    0.599
    83  -0.6984   1.5296   0.1074   0.3754   0.0279   0.2696   0.2456   0.0030   0.0000  -0.0850   0.1361    0.596
    84  -0.7699   1.5053   0.1096   0.3731   0.0276   0.2721   0.2480   0.0040   0.0000  -0.0851   0.1366    0.593
    85  -0.8440   1.4801   0.1114   0.3704   0.0273   0.2747   0.2503   0.0057   0.0000  -0.0851   0.1372    0.590
    86  -0.9204   1.4541   0.1127   0.3675   0.0269   0.2774   0.2528   0.0052   0.0000  -0.0851   0.1378    0.587
    87  -0.9990   1.4274   0.1136   0.3642   0.0265   0.2804   0.2555   0.0005   0.0000  -0.0852   0.1384    0.583
    88  -1.0795   1.4000   0.1140   0.3606   0.0262   0.2817   0.2567   0.0233   0.0000  -0.0852   0.1390    0.582
    89  -1.1618   1.3721   0.1140   0.3568   0.0258   0.2847   0.2594   0.0186   0.0000  -0.0852   0.1396    0.579
    90  -1.2457   1.3435   0.1136   0.3526   0.0254   0.2881   0.2625   0.0058   0.0000  -0.0852   0.1402    0.575
    91  -1.3309   1.3146   0.1129   0.3481   0.0250   0.2898   0.2641   0.0213   0.0000  -0.0853   0.1408    0.573
    92  -1.4173   1.2852   0.1117   0.3434   0.0246   0.2933   0.2672   0.0056   0.0000  -0.0853   0.1413    0.569
    93  -1.5047   1.2555   0.1102   0.3383   0.0242   0.2959   0.2696   0.0047   0.0000  -0.0853   0.1419    0.566
    94  -1.5928   1.2255   0.1084   0.3330   0.0239   0.2983   0.2718   0.0064   0.0000  -0.0853   0.1424    0.564
    95  -1.6815   1.1954   0.1062   0.3274   0.0235   0.2991   0.2726   0.0333   0.0000  -0.0853   0.1429    0.563
    96  -1.7705   1.1651   0.1038   0.3216   0.0232   0.3030   0.2761   0.0061   0.0000  -0.0853   0.1434    0.559
    97  -1.8595   1.1349   0.1011   0.3156   0.0229   0.3027   0.2758   0.0508   0.0000  -0.0853   0.1439    0.559
    98  -1.9485   1.1046   0.0981   0.3093   0.0226   0.3061   0.2789   0.0286   0.0000  -0.0852   0.1443    0.556
    99  -2.0372   1.0745   0.0950   0.3028   0.0223   0.3108   0.2832  -0.0184   0.0000  -0.0852   0.1447    0.551
   100  -2.1253   1.0445   0.0917   0.2961   0.0221   0.3126   0.2848  -0.0186   0.0000  -0.0851   0.1450    0.549
   101  -2.2127   1.0148   0.0882   0.2892   0.0219   0.3098   0.2823   0.0598   0.0000  -0.0851   0.1453    0.551
   102  -2.2991   0.9854   0.0846   0.2822   0.0218   0.3132   0.2854   0.0262   0.0000  -0.0850   0.1455    0.548
   103  -2.3843   0.9565   0.0809   0.2750   0.0217   0.3169   0.2888  -0.0172   0.0000  -0.0849   0.1457    0.544
   104  -2.4682   0.9279   0.0771   0.2676   0.0217   0.3155   0.2875   0.0253   0.0000  -0.0848   0.1458    0.545
   105  -2.5505   0.9000   0.0733   0.2601   0.0218   0.3164   0.2883   0.0223   0.0000  -0.0846   0.1458    0.544
   106  -2.6310   0.8726   0.0694   0.2525   0.0220   0.3168   0.2887   0.0210   0.0000  -0.0844   0.1457    0.542
   107  -2.7096   0.8459   0.0656   0.2447   0.0222   0.3189   0.2905  -0.0152   0.0000  -0.0842   0.1455    0.540
   108  -2.7860   0.8199   0.0617   0.2369   0.0226   0.3183   0.2901  -0.0146   0.0000  -0.0839   0.1451    0.539
   109  -2.8601   0.7947   0.0579   0.2289   0.0231   0.3135   0.2857   0.0515   0.0000  -0.0836   0.1446    0.543
   110  -2.9316   0.7704   0.0541   0.2207   0.0238   0.3125   0.2847   0.0416   0.0000  -0.0832   0.1439    0.542
   111  -3.0005   0.7470   0.0504   0.2124   0.0247   0.3098   0.2823   0.0470   0.0000  -0.0827   0.1430    0.543
   112  -3.0665   0.7246   0.0467   0.2040   0.0257   0.3065   0.2793   0.0505   0.0000  -0.0821   0.1418    0.544
   113  -3.1295   0.7031   0.0432   0.1954   0.0271   0.3027   0.2759   0.0452   0.0000  -0.0814   0.1402    0.545
   114  -3.1893   0.6828   0.0397   0.1865   0.0286   0.2946   0.2685   0.0967   0.0000  -0.0805   0.1383    0.550
   115  -3.2458   0.6636   0.0364   0.1774   0.0305   0.2918   0.2658   0.0361   0.0000  -0.0794   0.1359    0.549
   116  -3.2989   0.6456   0.0331   0.1680   0.0327   0.2865   0.2611  -0.0083   0.0000  -0.0780   0.1330    0.549
   117  -3.3484   0.6287   0.0300   0.1583   0.0353   0.2772   0.2526  -0.0092   0.0000  -0.0763   0.1294    0.552
   118  -3.3942   0.6132   0.0269   0.1481   0.0384   0.2689   0.2450  -0.0594   0.0000  -0.0742   0.1251    0.553
   119  -3.4362   0.5989   0.0240   0.1375   0.0420   0.2527   0.2302  -0.0076   0.0000  -0.0716   0.1199    0.561
   120  -3.4743   0.5859   0.0212   0.1263   0.0461   0.2371   0.2160  -0.0050   0.0000  -0.0684   0.1137    0.567
   121  -3.5084   0.5743   0.0184   0.1144   0.0508   0.2193   0.1998  -0.0054   0.0000  -0.0645   0.1062    0.573
   122  -3.5384   0.5641   0.0158   0.1019   0.0563   0.1986   0.1810  -0.0017   0.0000  -0.0597   0.0975    0.580
   123  -3.5643   0.5554   0.0132   0.0886   0.0627   0.1740   0.1585   0.0241   0.0000  -0.0540   0.0872    0.590
   124  -3.5859   0.5480   0.0107   0.0745   0.0701   0.1482   0.1350   0.0202   0.0000  -0.0471   0.0753    0.599
   125  -3.6033   0.5421   0.0083   0.0594   0.0787   0.1196   0.1090   0.0145   0.0000  -0.0389   0.0616    0.607
   126  -3.6164   0.5376   0.0059   0.0434   0.0876   0.0888   0.0809  -0.0018   0.0000  -0.0293   0.0460    0.612
   127  -3.6251   0.5347   0.0035   0.0265   0.0948   0.0540   0.0492   0.0063   0.0000  -0.0183   0.0285    0.621
   128  -3.6295   0.5332   0.0012   0.0089   0.0983   0.0182   0.0166   0.0018   0.0000  -0.0062   0.0097    0.624
 ---------------------------------------------------------------
